Source,supplier_source_string_upper,supplier_match_string_upper,supplier_id
Contract,RUSSELL'S COUNTRY STORE LTD,RUSSELL'S COUNTRY STORE LTD.,SC347251
Contract,WILLIAM WAUGH & SONS (BUILDERS) LTD,WILLIAM WAUGH & SONS (BUILDERS) LIMITED,SC039169
Contract,BRAISBY ROOFING LTD,BRAISBY ROOFING LIMITED,SC059217
Contract,TOTAL GAS & POWER LTD,TOTAL GAS & HEATING SOLUTIONS LIMITED,07568714
Contract,HILLHOUSE QUARRY GROUP LTD T/A MACASPHALT,HILLHOUSE QUARRY GROUP LIMITED,SC135103
Contract,INSIGHT DIRECT (UK) LTD,INSIGHT DIRECT (UK) LTD,02579852
Contract,NORTH SV LIMITED,NORTH SV LIMITED,SC201642
Contract,CARERS OF WEST DUNBARTONSHIRE,CARERS OF WEST DUNBARTONSHIRE LIMITED,SC318083
Contract,COMPLETE WEED CONTROL (SCOTLAND SOUTH EAST) LIMITED,COMPLETE WEED CONTROL (SCOTLAND SOUTH EAST) LIMITED,SC400439
Contract,IBT (INNES BUILDING & TIMBER MERCHANTS LTD),IBT BUILDING & TIMBER (MERCHANTS) LTD,SC229110
Contract,SWORD IT SOLUTIONS,SWORD IT SOLUTIONS LIMITED,03165591
Contract,LOMOND & ARGYLL ADVOCACY SERVICE,LOMOND AND ARGYLL ADVOCACY SERVICE,SC230947
Contract,WM THOMPSON & SON,WILLIAM THOMPSON & SON (DUMBARTON) LIMITED,SC025901
Contract,HAWTHORN HEIGHTS LTD,HAWTHORN HEIGHTS LTD,NI062867
Contract,D MCNAIR BUILDERS MERCHANTS LTD,D MCNAIR (BUILDERS MERCHANTS) LIMITED,SC089357
Contract,ENVIOCURE,ENVIROCURE LIMITED,04476109
Contract,MGM TIMBER (SCOTLAND)LTD,MGM TIMBER (SCOTLAND) LIMITED,SC129921
Contract,"BEMCO, THE BRITISH ELECTRICAL & MANUFACTURING COMPANY LIMITED",THE BRITISH ELECTRICAL & MANUFACTURING COMPANY LIMITED,00330768
Contract,MGB PLASTICS,MGB PLASTICS LIMITED,04109399
Contract,PPG ARCHITECTURAL COATINGS UK LTD,PPG ARCHITECTURAL COATINGS UK LIMITED,00436135
Contract,BARR ENVIRONMENTAL LIMITED,BARR ENVIRONMENTAL LIMITED,SC162876
Contract,P F CUSACK (TOOLS SUPPLIES) LTD,P.F. CUSACK (TOOLS SUPPLIES) LIMITED,02404505
Contract,CITY BUILDING (CONTRACTS) LLP,CITY BUILDING (CONTRACTS) LLP,SO301080
Contract,THE NATURE NURSERY MONTESSORI LTD,THE NATURE NURSERY MONTESSORI LTD,SC657875
Contract,KIRRIEMUIR NURSERY,KIRRIEMUIR NURSERY SCHOOL LIMITED,SC249016
Contract,THE STATION HOUSE NURSERY,THE STATION HOUSE NURSERY LIMITED,SC294515
Contract,HOLLYTREE NURSERY,HOLLYTREE NURSERY LTD,SC368591
Contract,RIVERSIDE NURSERY,RIVERSIDE NURSERY LIMITED,08162770
Contract,TOYBOX NURSERY,TOYBOX NURSERY LIMITED,SC443184
Contract,NURSERY TIMES AT THE PARK,NURSERY TIMES AT THE PARK LIMITED,SC234719
Contract,BIG BIRD NURSERY,BIG BIRD NURSERY (LARKHALL) LTD,SC256600
Contract,CLYDE VALLEY KINDERGARTEN,CLYDE VALLEY KINDERGARTEN AFTER SCHOOL CARE LIMITED,SC312924
Contract,CASA DEI  BAMBINI,CASA DEI BAMBINI LTD.,03955417
Contract,RASCALS NURSERY,RASCALS NURSERY LIMITED,04776585
Contract,HAPPY FEET OSC LTD,HAPPY FEET OSC LIMITED,SC338410
Contract,LITTLE SCHOLARS NURSERY LTD,LITTLE SCHOLARS (NURSERY) LTD.,SC229562
Contract,ANN CONNOR,ANN CONNOR LIMITED,06555426
Contract,OAKWOOD NURSERIES LTD.,OAKWOOD NURSERIES LIMITED,SC223393
Contract,HAPPY FEET NURSERY,HAPPY FEET NURSERY,CE011437
Contract,HIGH FLYERS CHILDCARE LTD,HIGH FLYERS CHILDCARE LTD,SC516791
Contract,HIGH FLYERS COMMUNITY CHILDCARE,HIGH FLYERS COMMUNITY CHILDCARE,SC342490
Contract,3 BEARS NURSERY CAMBUSLANG LIMITED,3 BEARS NURSERY CAMBUSLANG LIMITED,SC466174
Contract,TOTS2TEENS,TOTS2TEENS DAYCARE LTD,10687754
Contract,BRIGHT HORIZONS FAMILY SOLUTIONS LIMITED,BRIGHT HORIZONS FAMILY SOLUTIONS LIMITED,02328679
Contract,CADZOW NURSERY SCHOOL,CADZOW NURSERY SCHOOL LIMITED,SC461109
Contract,CHATELHERAULT NURSERY SCHOOL,CHATELHERAULT NURSERY SCHOOL LIMITED,SC153214
Contract,BIZZYBERRY NURSERY,BIZZYBERRY NURSERY LTD,SC517608
Contract,CHILDCARE IN THE COMMUNITY,CHILDCARE IN THE COMMUNITY,CS000824
Contract,TREEHOUSE NURSERY,THE TREEHOUSE NURSERY LIMITED,04762781
Contract,SMILEY FACES,SMILEY FACES LIMITED,05898442
Contract,ALLY BALLY BEE,ALLY BALLY BEE LIMITED,SC260846
Contract,MACKIN CHILDCARE LTD,MACKIN CHILDCARE LIMITED,SC376983
Contract,TECHNOTOTS CHILDCARE LIMITED,TECHNOTOTS (CHILDCARE) LIMITED,SC158269
Contract,JT CHILDCARE LIMITED,JT CHILDCARE LIMITED,SC580474
