ocid,releasedate,aw_value
ocds-0c46vo-0353-JUN298929,2019-06-20 00:00:00.000000,1492.26
ocds-0c46vo-0384-SPE2D619F36EZ,2019-11-16 12:42:28.944781,56.46
ocds-0c46vo-0384-SPE4A619FZ0QT,2019-11-16 08:50:15.094634,24.43
ocds-0c46vo-0384-47QSWA19F6PQM,2019-11-17 07:18:28.349437,27.0
ocds-0c46vo-0384-47QMCA19F02TV,2019-11-16 17:24:45.844509,36924.0
ocds-0c46vo-0384-SPE5E419V4173,2019-11-16 12:42:06.618193,1510.0
ocds-0c46vo-0353-JUN298928,2019-06-20 00:00:00.000000,338.5
ocds-0c46vo-0353-JUN298923,2019-06-20 00:00:00.000000,180000.0
ocds-0c46vo-0384-SPE30019F3RWU,2019-11-16 08:49:43.870713,356.4
ocds-0c46vo-0384-SPE2D619F73LX,2019-11-16 12:41:52.476920,1549.12
ocds-0c46vo-0384-SPE3SU19F64WE,2019-11-16 08:49:34.867403,123.9
ocds-0c46vo-0384-SPE8EJ19F8094,2019-11-16 12:41:39.871070,58.0
ocds-0c46vo-0384-SPE7M819V1285,2019-11-16 08:49:33.262468,124.0
ocds-0c46vo-0384-SPE60519FST58,2019-11-16 12:41:14.030762,1599.26
ocds-0c46vo-0384-SPE60719FCSY6,2019-11-16 08:49:06.126452,364.82
ocds-0c46vo-0353-JUN357802,2019-06-20 00:00:00.000000,400000000.0
ocds-0c46vo-0353-JUN357904,2019-06-21 00:00:00.000000,2000000.0
ocds-0c46vo-0353-JUN357907,2019-06-21 00:00:00.000000,83500.0
ocds-0c46vo-0353-JUN357912,2019-06-21 00:00:00.000000,335189.25
ocds-0c46vo-0353-JUN357940,2019-06-21 00:00:00.000000,144000.0
ocds-0c46vo-0353-JUN357950,2019-06-21 00:00:00.000000,700000.0
ocds-0c46vo-0353-JUN357957,2019-06-21 00:00:00.000000,448975.56
ocds-0c46vo-0353-JUN357965,2019-06-21 00:00:00.000000,4876500.0
ocds-0c46vo-0353-JUN357966,2019-06-21 00:00:00.000000,805534.35
ocds-0c46vo-0353-JUN357985,2019-06-21 00:00:00.000000,89767.0
ocds-0c46vo-0353-JUN358002,2019-06-21 00:00:00.000000,100500.0
ocds-0c46vo-0353-JUN358005,2019-06-21 00:00:00.000000,151380.0
ocds-0c46vo-0353-JUN358013,2019-06-21 00:00:00.000000,60000.0
ocds-0c46vo-0353-JUN358032,2019-06-21 00:00:00.000000,72467.89
ocds-0c46vo-0353-JUN358044,2019-06-21 00:00:00.000000,162498.0
ocds-0c46vo-0353-JUN358047,2019-06-21 00:00:00.000000,149295.0
ocds-0c46vo-0353-JUN298927,2019-06-20 00:00:00.000000,490.21
ocds-0c46vo-0353-JUN358058,2019-06-21 00:00:00.000000,158046.0
ocds-0c46vo-0353-JUN358059,2019-06-21 00:00:00.000000,84000.0
ocds-0c46vo-0353-JUN299006,2019-06-21 00:00:00.000000,520000.0
ocds-0c46vo-0353-JUN299014,2019-06-21 00:00:00.000000,48441.0
ocds-0c46vo-0353-JUN299013,2019-06-21 00:00:00.000000,48441.0
ocds-0c46vo-0353-JUN299023,2019-06-21 00:00:00.000000,76459.0
