buyer_name_clean,ocid,level1,sic_code,sic_string,start_date,end_date,co2_pm
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135943,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.02306250318133616
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148076,,32500,Manufacture of medical and dental instruments and supplies,2020-03-01,2022-09-30,0.04618145304878049
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148085,,72190,Other research and experimental development on natural sciences and engineering,2020-03-01,2022-09-30,0.04222276631389184
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-134979,,86101,Hospital activities,2020-03-01,2022-09-30,0.28195700305514315
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-144839,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.09676574761399788
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148086,,27400,Manufacture of electric lighting equipment,2020-03-01,2022-09-30,0.0593754627359491
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146616,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.05710888637433722
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148079,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.0030787635365853655
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148091,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.019792466016967127
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-132058,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.220016280349947
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146410,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.05160839872746554
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135966,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.010644232237539767
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148078,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.10071830585153764
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146608,,69102,Solicitors,2020-03-01,2022-09-30,0.017826831130434782
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-130157,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.1612762460233298
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146601,,71111,Architectural activities,2020-03-01,2022-09-30,0.053390501246023334
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135946,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.13305290296924707
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-131704,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.026042888207847295
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146605,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.08183930849204667
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-148097,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.006597166119830329
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146611,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.054599750538706256
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146610,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.10881243808695651
DEPT OF GENERAL SERVICES,ocds-0c46vo-0517-126170,,29100,Manufacture of motor vehicles,2020-03-01,2025-02-28,53.06924482467945
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135963,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.012240867073170732
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146612,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.03105116075185578
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135960,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.05357596892895016
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135971,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.01774038706256628
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-131703,,69201,Accounting and auditing activities,2020-03-01,2022-09-30,0
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-130156,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.025739688865323438
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-135945,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.09225001272534464
DEPT OF FAMILY AND SUPPORT SERVICES,ocds-0c46vo-0517-146604,,71122,Engineering related scientific and technical consulting activities,2020-03-01,2022-09-30,0.013345286805938494
